"","source_gene","target_gene","NoTumor","Tumor","ratio"
"1","CD74","CD55",0.000655522779416585,0.0555187820618898,4.4390436042069
"2","CKS2","CKS1B",0.000983284169124877,0.0863809366208837,4.47562412756964
"3","IER3","ELF3",0.000327761389708292,0.0405427767665067,4.81782703889984
"4","INTS6","ADAMTS1",0,0.0493959953665398,6.90775527898214
"5","KLF4","AREG",0,0.0404600364057587,6.90775527898214
"6","LY6E","IFI27",0.000327761389708292,0.045755419493629,4.9387796493175
"7","NDRG1","BNIP3",0,0.0713221909647526,6.90775527898214
"8","NDRG1","BNIP3L",0,0.0428595068674499,6.90775527898214
"9","NDRG1","DDIT4",0,0.0425285454244581,6.90775527898214
"10","NDRG1","ERRFI1",0,0.0401290749627668,6.90775527898214
"11","NDRG1","ETS2",0.000327761389708292,0.0502233989740195,5.03195043885466
"12","NNMT","AKR1C3",0.000327761389708292,0.0469137845441006,4.96378095152292
"13","NNMT","MSN",0.000327761389708292,0.0459209002151249,4.9423897615416
"14","PACSIN2","CDC42EP1",0,0.0824921396657289,6.90775527898214
"15","PACSIN2","EP300",0.000655522779416585,0.0956478570246566,4.98299551646754
"16","PTGS2","AREG",0.000327761389708292,0.0561807049478736,5.14404277535386
"17","PTGS2","CITED2",0.000327761389708292,0.0624689723647195,5.25013939704419
"18","PTGS2","EPS8",0.000327761389708292,0.0831540625517127,5.53616446828834
"19","PTGS2","ERRFI1",0.000655522779416585,0.0527883501572067,4.38861275058001
"20","PTGS2","GDF15",0,0.0555187820618898,6.90775527898214
"21","RAD21","CKS1B",0.000655522779416585,0.0481548899553202,4.29674491496666
"22","RAD21","CKS2",0,0.0475757074300844,6.90775527898214
"23","RBX1","CDC42EP1",0,0.0492305146450439,6.90775527898214
"24","RBX1","PACSIN2",0,0.0583319543273209,6.90775527898214
"25","SLC34A2","CEACAM5",0,0.048816812841304,6.90775527898214
"26","SORBS2","PBX1",0,0.057835512162833,6.90775527898214
"27","ST13","CDC42EP1",0,0.0425285454244581,6.90775527898214
"28","ST13","EP300",0,0.0850570908489161,6.90775527898214
"29","ST13","PACSIN2",0.000655522779416585,0.123862320039715,5.24149285165485
"30","ST13","RBX1",0,0.0831540625517127,6.90775527898214
"31","STMN1","CKS2",0.000983284169124877,0.0715704120469965,4.28753886605894
"32","TACSTD2","EPS8",0.000327761389708292,0.0464173423796128,4.95314255331786
"33","TACSTD2","PTGS2",0.000655522779416585,0.0481548899553202,4.29674491496666
"34","TNC","S100A9",0.000327761389708292,0.064041039218931,5.27499352138489
"35","VEGFA","BNIP3",0,0.0432732086711898,6.90775527898214
"36","VEGFA","DDIT4",0,0.0725632963759722,6.90775527898214
"37","VEGFA","IGFBP3",0,0.0527883501572067,6.90775527898214
"38","WIF1","CLU",0.00131104555883317,0.0874565613106073,4.20031727254551
"39","WIF1","PTK7",0.000655522779416585,0.114016217110707,5.15866291880882
"40","XRCC6","CDC42EP1",0,0.0463346020188648,6.90775527898214
"41","XRCC6","EP300",0,0.0485685917590601,6.90775527898214
"42","XRCC6","PACSIN2",0,0.12121462849578,6.90775527898214
"43","XRCC6","ST13",0.000655522779416585,0.0537812344861824,4.4072468301249
